AAAA 05 04 01 8A01F4DD
AAAA 06 10 00 0000000000000000000000000000006
AAAA A0 70 60 011106C0000EE
AAAA 02 14 00 33FFE907E3000100000000000000000000000070
AAAA 01 0C FF EDFF6D002600002BAF0000B9
AAAA 02 14 00 3CFFF407ED00000000000000000000000000008D
AAAA F1 12 00 000000000000000000001200000000FFEE56
AAAA F2 12 00 000000000000000000000E000000000D48BB
AAAA 02 14 00 32FFF407E700000002000000000000000000007F
AAAA 02 14 00 34FFF007EC000000000000000000000000000080
AAAA F1 12 00 000000000000000000001200000000FFEF57
AAAA F2 12 00 000000000000000000000E000000000D48BB
AAAA 03 14 00 000000000000000000000000000000000000006B
AAAA 06 10 00 0000000000000000000000000000006
AAAA A0 70 60 0110F98000019
AAAA 01 0C FF EDFF6D002600002BAD0000B7
AAAA 02 14 00 32FFF207E70000FFFF0000000000000000000079
AAAA 02 14 00 30FFFA07F10000FFFFFFFF000000000000000087
AAAA F1 12 00 000000000000000000001200000000FFEF57
AAAA F2 12 00 000000000000000000000D000000000D48B
AAAA A0 21 40 02FFFEF07EC00000001000000000000000000007B
